Area_Name,Year,Group_Name,Victim_Age_Group,freq
Andaman & Nicobar Islands,2005,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2004,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2003,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2010,Murder - Female Victims,Victims_Upto_18_30_Yrs,0.0
Andaman & Nicobar Islands,2002,Murder - Male Victims,Victims_Above_50_Yrs,2.0
Andaman & Nicobar Islands,2001,Murder - Male Victims,Victims_Upto_18_30_Yrs,3.0
Andaman & Nicobar Islands,2002,Murder - Male Victims,Victims_Upto_18_30_Yrs,4.0
Andaman & Nicobar Islands,2008,Murder - Female Victims,Victims_Upto_30_50_Yrs,0.0
Andaman & Nicobar Islands,2005,Murder - Female Victims,Victims_Above_50_Yrs,0.0
Andaman & Nicobar Islands,2007,Murder - Female Victims,Victims_Upto_30_50_Yrs,2.0
Andaman & Nicobar Islands,2006,Murder - Female Victims,Victims_Upto_30_50_Yrs,1.0
Andaman & Nicobar Islands,2005,Murder - Female Victims,Victims_Upto_30_50_Yrs,3.0
Andaman & Nicobar Islands,2006,Murder - Female Victims,Victims_Above_50_Yrs,0.0
Andaman & Nicobar Islands,2004,Murder - Female Victims,Victims_Upto_30_50_Yrs,5.0
Andaman & Nicobar Islands,2003,Murder - Female Victims,Victims_Upto_30_50_Yrs,5.0
Andaman & Nicobar Islands,2007,Murder - Female Victims,Victims_Above_50_Yrs,1.0
Andaman & Nicobar Islands,2002,Murder - Female Victims,Victims_Upto_30_50_Yrs,4.0
Andaman & Nicobar Islands,2008,Murder - Male Victims,Victims_Upto_30_50_Yrs,2.0
Andaman & Nicobar Islands,2009,Murder - Male Victims,Victims_Above_50_Yrs,0.0
Andaman & Nicobar Islands,2001,Murder - Female Victims,Victims_Upto_30_50_Yrs,2.0
Andaman & Nicobar Islands,2008,Murder - Female Victims,Victims_Above_50_Yrs,0.0
Andaman & Nicobar Islands,2009,Murder - Male Victims,Victims_Upto_18_30_Yrs,3.0
Andaman & Nicobar Islands,2008,Murder - Male Victims,Victims_Upto_18_30_Yrs,2.0
Andaman & Nicobar Islands,2009,Murder - Female Victims,Victims_Above_50_Yrs,0.0
Andaman & Nicobar Islands,2007,Murder - Male Victims,Victims_Upto_18_30_Yrs,3.0
Andaman & Nicobar Islands,2006,Murder - Male Victims,Victims_Upto_18_30_Yrs,1.0
Andaman & Nicobar Islands,2010,Murder - Female Victims,Victims_Above_50_Yrs,0.0
Andaman & Nicobar Islands,2005,Murder - Male Victims,Victims_Upto_18_30_Yrs,4.0
Andaman & Nicobar Islands,2004,Murder - Male Victims,Victims_Upto_18_30_Yrs,2.0
Andaman & Nicobar Islands,2001,Murder - Male Victims,Victims_Above_50_Yrs,0.0
Andaman & Nicobar Islands,2003,Murder - Male Victims,Victims_Upto_18_30_Yrs,6.0
Andaman & Nicobar Islands,2010,Murder - Male Victims,Victims_Upto_18_30_Yrs,2.0
Andaman & Nicobar Islands,2009,Murder - Female Victims,Victims_Upto_30_50_Yrs,4.0
Andaman & Nicobar Islands,2002,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2010,Murder - Female Victims,Victims_Upto_15_18_Yrs,2.0
Andaman & Nicobar Islands,2008,Murder - Female Victims,Victims_Upto_10_15_Yrs,2.0
Andaman & Nicobar Islands,2010,Murder - Female Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2009,Murder - Female Victims,Victims_Upto_10_Yrs,1.0
Andaman & Nicobar Islands,2008,Murder - Female Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2009,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2007,Murder - Female Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2006,Murder - Female Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2010,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2005,Murder - Female Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2004,Murder - Female Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2003,Murder - Female Victims,Victims_Upto_10_Yrs,1.0
Andaman & Nicobar Islands,2001,Murder - Male Victims,Victims_Upto_10_15_Yrs,1.0
Andaman & Nicobar Islands,2002,Murder - Female Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2001,Murder - Female Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2002,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2010,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2009,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2008,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2010,Murder - Male Victims,Victims_Upto_30_50_Yrs,3.0
Andaman & Nicobar Islands,2003,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2007,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2006,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2004,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2001,Murder - Male Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2002,Murder - Male Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2003,Murder - Male Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2007,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2010,Murder - Male Victims,Victims_Above_50_Yrs,0.0
Andaman & Nicobar Islands,2009,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2008,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2009,Murder - Male Victims,Victims_Upto_30_50_Yrs,5.0
Andaman & Nicobar Islands,2001,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2007,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2006,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2005,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2002,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2004,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2003,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2001,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2003,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2001,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Andaman & Nicobar Islands,2004,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2010,Murder - Male Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2009,Murder - Male Victims,Victims_Upto_10_Yrs,2.0
Andaman & Nicobar Islands,2008,Murder - Male Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2005,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2007,Murder - Male Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2006,Murder - Male Victims,Victims_Upto_10_Yrs,0.0
Andaman & Nicobar Islands,2006,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2005,Murder - Male Victims,Victims_Upto_10_Yrs,1.0
Andaman & Nicobar Islands,2004,Murder - Male Victims,Victims_Upto_10_Yrs,1.0
Andaman & Nicobar Islands,2002,Murder - Female Victims,Victims_Upto_15_18_Yrs,1.0
Andaman & Nicobar Islands,2010,Murder - Female Victims,Victims_Upto_30_50_Yrs,3.0
Andaman & Nicobar Islands,2005,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Andaman & Nicobar Islands,2006,Murder - Male Victims,Victims_Upto_30_50_Yrs,1.0
Andaman & Nicobar Islands,2007,Murder - Male Victims,Victims_Upto_30_50_Yrs,4.0
Andaman & Nicobar Islands,2002,Murder - Male Victims,Victims_Upto_30_50_Yrs,4.0
Andaman & Nicobar Islands,2002,Murder - Female Victims,Victims_Above_50_Yrs,0.0
Andaman & Nicobar Islands,2003,Murder - Male Victims,Victims_Upto_30_50_Yrs,5.0
Andaman & Nicobar Islands,2001,Murder - Male Victims,Victims_Upto_30_50_Yrs,3.0
Andaman & Nicobar Islands,2004,Murder - Male Victims,Victims_Upto_30_50_Yrs,5.0
Andaman & Nicobar Islands,2004,Murder - Female Victims,Victims_Above_50_Yrs,0.0
Andaman & Nicobar Islands,2005,Murder - Male Victims,Victims_Upto_30_50_Yrs,5.0
Andaman & Nicobar Islands,2003,Murder - Female Victims,Victims_Above_50_Yrs,1.0
Andhra Pradesh,2010,Murder - Male Victims,Victims_Upto_15_18_Yrs,13.0
Andhra Pradesh,2009,Murder - Male Victims,Victims_Upto_15_18_Yrs,22.0
Andhra Pradesh,2003,Murder - Female Victims,Victims_Above_50_Yrs,74.0
Andhra Pradesh,2001,Murder - Female Victims,Victims_Upto_18_30_Yrs,269.0
Andhra Pradesh,2002,Murder - Female Victims,Victims_Upto_18_30_Yrs,371.0
Andhra Pradesh,2003,Murder - Male Victims,Victims_Upto_30_50_Yrs,887.0
Andhra Pradesh,2006,Murder - Male Victims,Victims_Above_50_Yrs,312.0
Andhra Pradesh,2010,Murder - Female Victims,Victims_Upto_30_50_Yrs,213.0
Andhra Pradesh,2007,Murder - Male Victims,Victims_Upto_15_18_Yrs,29.0
Andhra Pradesh,2005,Murder - Male Victims,Victims_Upto_10_15_Yrs,14.0
Andhra Pradesh,2005,Murder - Male Victims,Victims_Upto_15_18_Yrs,21.0
Andhra Pradesh,2008,Murder - Male Victims,Victims_Above_50_Yrs,221.0
Andhra Pradesh,2004,Murder - Male Victims,Victims_Upto_15_18_Yrs,15.0
Andhra Pradesh,2003,Murder - Male Victims,Victims_Upto_15_18_Yrs,43.0
Andhra Pradesh,2009,Murder - Male Victims,Victims_Above_50_Yrs,184.0
Andhra Pradesh,2002,Murder - Male Victims,Victims_Upto_15_18_Yrs,10.0
Andhra Pradesh,2004,Murder - Male Victims,Victims_Upto_30_50_Yrs,855.0
Andhra Pradesh,2001,Murder - Male Victims,Victims_Upto_15_18_Yrs,88.0
Andhra Pradesh,2010,Murder - Female Victims,Victims_Upto_15_18_Yrs,6.0
Andhra Pradesh,2008,Murder - Male Victims,Victims_Upto_15_18_Yrs,55.0
Andhra Pradesh,2007,Murder - Male Victims,Victims_Above_50_Yrs,206.0
Andhra Pradesh,2005,Murder - Male Victims,Victims_Above_50_Yrs,245.0
Andhra Pradesh,2004,Murder - Female Victims,Victims_Upto_18_30_Yrs,301.0
Andhra Pradesh,2008,Murder - Female Victims,Victims_Above_50_Yrs,82.0
Andhra Pradesh,2009,Murder - Male Victims,Victims_Upto_18_30_Yrs,668.0
Andhra Pradesh,2001,Murder - Male Victims,Victims_Upto_30_50_Yrs,952.0
Andhra Pradesh,2008,Murder - Male Victims,Victims_Upto_18_30_Yrs,855.0
Andhra Pradesh,2009,Murder - Female Victims,Victims_Above_50_Yrs,91.0
Andhra Pradesh,2007,Murder - Male Victims,Victims_Upto_18_30_Yrs,874.0
Andhra Pradesh,2006,Murder - Male Victims,Victims_Upto_18_30_Yrs,1045.0
Andhra Pradesh,2010,Murder - Female Victims,Victims_Above_50_Yrs,143.0
Andhra Pradesh,2005,Murder - Male Victims,Victims_Upto_18_30_Yrs,953.0
Andhra Pradesh,2004,Murder - Male Victims,Victims_Upto_18_30_Yrs,856.0
Andhra Pradesh,2003,Murder - Male Victims,Victims_Upto_18_30_Yrs,992.0
Andhra Pradesh,2003,Murder - Female Victims,Victims_Upto_18_30_Yrs,378.0
Andhra Pradesh,2001,Murder - Male Victims,Victims_Above_50_Yrs,215.0
Andhra Pradesh,2002,Murder - Male Victims,Victims_Upto_18_30_Yrs,949.0
Andhra Pradesh,2001,Murder - Male Victims,Victims_Upto_18_30_Yrs,827.0
Andhra Pradesh,2002,Murder - Male Victims,Victims_Above_50_Yrs,194.0
Andhra Pradesh,2010,Murder - Female Victims,Victims_Upto_18_30_Yrs,235.0
Andhra Pradesh,2009,Murder - Female Victims,Victims_Upto_18_30_Yrs,379.0
Andhra Pradesh,2008,Murder - Female Victims,Victims_Upto_18_30_Yrs,411.0
Andhra Pradesh,2003,Murder - Male Victims,Victims_Above_50_Yrs,207.0
Andhra Pradesh,2007,Murder - Female Victims,Victims_Upto_18_30_Yrs,415.0
Andhra Pradesh,2006,Murder - Female Victims,Victims_Upto_18_30_Yrs,322.0
Andhra Pradesh,2004,Murder - Male Victims,Victims_Above_50_Yrs,222.0
Andhra Pradesh,2005,Murder - Female Victims,Victims_Upto_18_30_Yrs,324.0
Andhra Pradesh,2002,Murder - Male Victims,Victims_Upto_30_50_Yrs,826.0
Andhra Pradesh,2010,Murder - Male Victims,Victims_Above_50_Yrs,325.0
Andhra Pradesh,2001,Murder - Female Victims,Victims_Upto_10_15_Yrs,15.0
Andhra Pradesh,2008,Murder - Female Victims,Victims_Upto_15_18_Yrs,9.0
Andhra Pradesh,2010,Murder - Female Victims,Victims_Upto_10_Yrs,15.0
Andhra Pradesh,2009,Murder - Female Victims,Victims_Upto_10_Yrs,18.0
Andhra Pradesh,2008,Murder - Female Victims,Victims_Upto_10_Yrs,25.0
Andhra Pradesh,2009,Murder - Female Victims,Victims_Upto_10_15_Yrs,6.0
Andhra Pradesh,2007,Murder - Female Victims,Victims_Upto_10_Yrs,26.0
Andhra Pradesh,2006,Murder - Female Victims,Victims_Upto_10_Yrs,16.0
Andhra Pradesh,2010,Murder - Female Victims,Victims_Upto_10_15_Yrs,12.0
Andhra Pradesh,2005,Murder - Female Victims,Victims_Upto_10_Yrs,14.0
Andhra Pradesh,2007,Murder - Male Victims,Victims_Upto_30_50_Yrs,828.0
Andhra Pradesh,2004,Murder - Female Victims,Victims_Upto_10_Yrs,13.0
Andhra Pradesh,2003,Murder - Female Victims,Victims_Upto_10_Yrs,8.0
Andhra Pradesh,2008,Murder - Female Victims,Victims_Upto_10_15_Yrs,7.0
Andhra Pradesh,2001,Murder - Male Victims,Victims_Upto_10_15_Yrs,59.0
Andhra Pradesh,2001,Murder - Female Victims,Victims_Upto_10_Yrs,38.0
Andhra Pradesh,2010,Murder - Male Victims,Victims_Upto_30_50_Yrs,591.0
Andhra Pradesh,2002,Murder - Male Victims,Victims_Upto_10_15_Yrs,3.0
Andhra Pradesh,2010,Murder - Male Victims,Victims_Upto_10_15_Yrs,16.0
Andhra Pradesh,2009,Murder - Male Victims,Victims_Upto_10_15_Yrs,12.0
Andhra Pradesh,2008,Murder - Male Victims,Victims_Upto_10_15_Yrs,14.0
Andhra Pradesh,2003,Murder - Male Victims,Victims_Upto_10_15_Yrs,31.0
Andhra Pradesh,2007,Murder - Male Victims,Victims_Upto_10_15_Yrs,8.0
Andhra Pradesh,2006,Murder - Male Victims,Victims_Upto_10_15_Yrs,11.0
Andhra Pradesh,2001,Murder - Female Victims,Victims_Above_50_Yrs,67.0
Andhra Pradesh,2004,Murder - Male Victims,Victims_Upto_10_15_Yrs,15.0
Andhra Pradesh,2002,Murder - Female Victims,Victims_Upto_10_Yrs,5.0
Andhra Pradesh,2009,Murder - Female Victims,Victims_Upto_15_18_Yrs,7.0
Andhra Pradesh,2001,Murder - Male Victims,Victims_Upto_10_Yrs,35.0
Andhra Pradesh,2002,Murder - Male Victims,Victims_Upto_10_Yrs,7.0
Andhra Pradesh,2007,Murder - Female Victims,Victims_Upto_15_18_Yrs,10.0
Andhra Pradesh,2009,Murder - Male Victims,Victims_Upto_30_50_Yrs,777.0
Andhra Pradesh,2006,Murder - Female Victims,Victims_Upto_15_18_Yrs,11.0
Andhra Pradesh,2005,Murder - Female Victims,Victims_Upto_15_18_Yrs,7.0
Andhra Pradesh,2005,Murder - Male Victims,Victims_Upto_30_50_Yrs,949.0
Andhra Pradesh,2002,Murder - Female Victims,Victims_Upto_10_15_Yrs,17.0
Andhra Pradesh,2004,Murder - Female Victims,Victims_Upto_15_18_Yrs,14.0
Andhra Pradesh,2003,Murder - Female Victims,Victims_Upto_15_18_Yrs,12.0
Andhra Pradesh,2003,Murder - Female Victims,Victims_Upto_10_15_Yrs,8.0
Andhra Pradesh,2002,Murder - Female Victims,Victims_Upto_15_18_Yrs,3.0
Andhra Pradesh,2001,Murder - Female Victims,Victims_Upto_15_18_Yrs,43.0
Andhra Pradesh,2006,Murder - Male Victims,Victims_Upto_30_50_Yrs,812.0
Andhra Pradesh,2004,Murder - Female Victims,Victims_Upto_10_15_Yrs,10.0
Andhra Pradesh,2009,Murder - Male Victims,Victims_Upto_10_Yrs,12.0
Andhra Pradesh,2008,Murder - Male Victims,Victims_Upto_10_Yrs,11.0
Andhra Pradesh,2002,Murder - Female Victims,Victims_Above_50_Yrs,81.0
Andhra Pradesh,2005,Murder - Female Victims,Victims_Upto_10_15_Yrs,7.0
Andhra Pradesh,2007,Murder - Male Victims,Victims_Upto_10_Yrs,19.0
Andhra Pradesh,2006,Murder - Male Victims,Victims_Upto_10_Yrs,12.0
Andhra Pradesh,2006,Murder - Female Victims,Victims_Upto_10_15_Yrs,9.0
Andhra Pradesh,2005,Murder - Male Victims,Victims_Upto_10_Yrs,24.0
Andhra Pradesh,2004,Murder - Male Victims,Victims_Upto_10_Yrs,22.0
Andhra Pradesh,2003,Murder - Male Victims,Victims_Upto_10_Yrs,17.0
Andhra Pradesh,2007,Murder - Female Victims,Victims_Upto_10_15_Yrs,16.0
Andhra Pradesh,2010,Murder - Male Victims,Victims_Upto_10_Yrs,7.0
Andhra Pradesh,2010,Murder - Male Victims,Victims_Upto_18_30_Yrs,962.0
Andhra Pradesh,2006,Murder - Male Victims,Victims_Upto_15_18_Yrs,4.0
Andhra Pradesh,2005,Murder - Female Victims,Victims_Above_50_Yrs,68.0
Andhra Pradesh,2007,Murder - Female Victims,Victims_Upto_30_50_Yrs,352.0
Andhra Pradesh,2004,Murder - Female Victims,Victims_Above_50_Yrs,63.0
Andhra Pradesh,2002,Murder - Female Victims,Victims_Upto_30_50_Yrs,185.0
Andhra Pradesh,2006,Murder - Female Victims,Victims_Upto_30_50_Yrs,306.0
Andhra Pradesh,2001,Murder - Female Victims,Victims_Upto_30_50_Yrs,175.0
Andhra Pradesh,2005,Murder - Female Victims,Victims_Upto_30_50_Yrs,302.0
Andhra Pradesh,2009,Murder - Female Victims,Victims_Upto_30_50_Yrs,299.0
Andhra Pradesh,2006,Murder - Female Victims,Victims_Above_50_Yrs,80.0
Andhra Pradesh,2003,Murder - Female Victims,Victims_Upto_30_50_Yrs,257.0
Andhra Pradesh,2007,Murder - Female Victims,Victims_Above_50_Yrs,67.0
Andhra Pradesh,2004,Murder - Female Victims,Victims_Upto_30_50_Yrs,254.0
Andhra Pradesh,2008,Murder - Female Victims,Victims_Upto_30_50_Yrs,296.0
Andhra Pradesh,2008,Murder - Male Victims,Victims_Upto_30_50_Yrs,776.0
Arunachal Pradesh,2010,Murder - Male Victims,Victims_Above_50_Yrs,0.0
Arunachal Pradesh,2003,Murder - Female Victims,Victims_Upto_18_30_Yrs,0.0
Arunachal Pradesh,2003,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Arunachal Pradesh,2010,Murder - Female Victims,Victims_Upto_18_30_Yrs,2.0
Arunachal Pradesh,2003,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Arunachal Pradesh,2001,Murder - Female Victims,Victims_Above_50_Yrs,2.0
Arunachal Pradesh,2006,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Arunachal Pradesh,2002,Murder - Male Victims,Victims_Upto_10_Yrs,0.0
Arunachal Pradesh,2004,Murder - Male Victims,Victims_Upto_18_30_Yrs,36.0
Arunachal Pradesh,2005,Murder - Female Victims,Victims_Upto_30_50_Yrs,0.0
Arunachal Pradesh,2005,Murder - Male Victims,Victims_Above_50_Yrs,2.0
Arunachal Pradesh,2009,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Arunachal Pradesh,2006,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Arunachal Pradesh,2005,Murder - Male Victims,Victims_Upto_18_30_Yrs,58.0
Arunachal Pradesh,2002,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Arunachal Pradesh,2006,Murder - Female Victims,Victims_Upto_30_50_Yrs,0.0
Arunachal Pradesh,2009,Murder - Female Victims,Victims_Upto_30_50_Yrs,0.0
Arunachal Pradesh,2002,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Arunachal Pradesh,2010,Murder - Female Victims,Victims_Above_50_Yrs,0.0
Arunachal Pradesh,2008,Murder - Female Victims,Victims_Upto_30_50_Yrs,1.0
Arunachal Pradesh,2001,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Arunachal Pradesh,2004,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Arunachal Pradesh,2003,Murder - Female Victims,Victims_Upto_10_Yrs,0.0
Arunachal Pradesh,2010,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Arunachal Pradesh,2003,Murder - Male Victims,Victims_Above_50_Yrs,0.0
Arunachal Pradesh,2003,Murder - Male Victims,Victims_Upto_10_Yrs,0.0
Arunachal Pradesh,2007,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Arunachal Pradesh,2008,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Arunachal Pradesh,2006,Murder - Female Victims,Victims_Upto_10_Yrs,0.0
Arunachal Pradesh,2002,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Arunachal Pradesh,2001,Murder - Male Victims,Victims_Upto_18_30_Yrs,31.0
Arunachal Pradesh,2005,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Arunachal Pradesh,2004,Murder - Male Victims,Victims_Above_50_Yrs,3.0
Arunachal Pradesh,2007,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Arunachal Pradesh,2002,Murder - Male Victims,Victims_Above_50_Yrs,0.0
Arunachal Pradesh,2003,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Arunachal Pradesh,2002,Murder - Male Victims,Victims_Upto_30_50_Yrs,26.0
Arunachal Pradesh,2001,Murder - Female Victims,Victims_Upto_10_Yrs,0.0
Arunachal Pradesh,2002,Murder - Male Victims,Victims_Upto_18_30_Yrs,31.0
Arunachal Pradesh,2010,Murder - Female Victims,Victims_Upto_10_Yrs,0.0
Arunachal Pradesh,2004,Murder - Male Victims,Victims_Upto_30_50_Yrs,26.0
Arunachal Pradesh,2010,Murder - Male Victims,Victims_Upto_30_50_Yrs,20.0
Arunachal Pradesh,2004,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Arunachal Pradesh,2001,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Arunachal Pradesh,2002,Murder - Male Victims,Victims_Upto_15_18_Yrs,0.0
Arunachal Pradesh,2001,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Arunachal Pradesh,2008,Murder - Female Victims,Victims_Upto_10_Yrs,0.0
Arunachal Pradesh,2006,Murder - Female Victims,Victims_Upto_18_30_Yrs,0.0
Arunachal Pradesh,2010,Murder - Female Victims,Victims_Upto_30_50_Yrs,0.0
Arunachal Pradesh,2003,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Arunachal Pradesh,2009,Murder - Male Victims,Victims_Upto_30_50_Yrs,28.0
Arunachal Pradesh,2001,Murder - Male Victims,Victims_Above_50_Yrs,4.0
Arunachal Pradesh,2004,Murder - Female Victims,Victims_Upto_18_30_Yrs,0.0
Arunachal Pradesh,2002,Murder - Female Victims,Victims_Upto_30_50_Yrs,1.0
Arunachal Pradesh,2003,Murder - Male Victims,Victims_Upto_18_30_Yrs,64.0
Arunachal Pradesh,2009,Murder - Male Victims,Victims_Above_50_Yrs,0.0
Arunachal Pradesh,2005,Murder - Female Victims,Victims_Upto_18_30_Yrs,1.0
Arunachal Pradesh,2007,Murder - Female Victims,Victims_Upto_18_30_Yrs,3.0
Arunachal Pradesh,2002,Murder - Female Victims,Victims_Upto_18_30_Yrs,3.0
Arunachal Pradesh,2010,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Arunachal Pradesh,2001,Murder - Male Victims,Victims_Upto_10_Yrs,0.0
Arunachal Pradesh,2001,Murder - Male Victims,Victims_Upto_30_50_Yrs,32.0
Arunachal Pradesh,2010,Murder - Male Victims,Victims_Upto_10_Yrs,0.0
Arunachal Pradesh,2008,Murder - Male Victims,Victims_Upto_18_30_Yrs,40.0
Arunachal Pradesh,2008,Murder - Female Victims,Victims_Upto_15_18_Yrs,0.0
Arunachal Pradesh,2008,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
Arunachal Pradesh,2009,Murder - Male Victims,Victims_Upto_10_15_Yrs,0.0
Arunachal Pradesh,2005,Murder - Female Victims,Victims_Above_50_Yrs,0.0
Arunachal Pradesh,2007,Murder - Male Victims,Victims_Upto_10_Yrs,0.0
Arunachal Pradesh,2001,Murder - Female Victims,Victims_Upto_10_15_Yrs,0.0
